OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
97f5958c-ece6-4f29-9455-548a0b425040,BTC-NBT,LIMIT_BUY,2.05364018,0.00161228,0.00000827,0.00331104,10/7/2016 4:09:14 PM,10/7/2016 7:03:12 PM
45879896-eb08-419a-990f-939edb84142a,BTC-NBT,LIMIT_SELL,0.31990122,0.00157622,0.00000126,0.00050423,10/21/2016 2:55:41 AM,10/21/2016 2:58:44 AM
450b9b64-f17c-4020-896a-8c9d6a39b172,BTC-NBT,LIMIT_SELL,0.32055592,0.00156135,0.00000125,0.00050049,10/22/2016 10:11:27 AM,10/22/2016 12:00:16 PM
27ffc63d-6abd-418f-9d94-d2dd27e4e4aa,BTC-NBT,LIMIT_BUY,0.36255343,0.00141084,0.00000127,0.00051131,10/30/2016 12:55:21 AM,10/30/2016 12:56:21 AM
a3cf7839-e1a1-4f9b-bc62-24c866ac225e,BTC-NBT,LIMIT_BUY,7.17985418,0.00143684,0.00002579,0.0103163,11/3/2016 9:08:27 PM,11/3/2016 9:10:27 PM
c92bf825-52a4-454b-a5d8-a96d1f7bd335,BTC-NBT,LIMIT_BUY,6.27168031,0.00142651,0.00002235,0.0089432,11/13/2016 12:51:08 AM,11/13/2016 12:52:08 AM
47518d6b-3908-43de-a507-f4ba119dae8e,BTC-NBT,LIMIT_SELL,0.56420812,0.00088321,0.00000124,0.00049875,1/4/2017 6:05:34 PM,1/4/2017 6:06:26 PM
f5f6c9b4-6e73-4d8d-a8e1-7759a28882f8,BTC-NBT,LIMIT_SELL,0.68060297,0.00087927,0.0000015,0.00060052,1/4/2017 11:00:18 PM,1/4/2017 11:01:18 PM
909df023-d425-4f06-a78f-022a8d1582d4,BTC-NBT,LIMIT_BUY,225.66364519,0.00108744,0.00061128,0.24451647,1/6/2017 10:24:07 AM,1/6/2017 10:25:09 AM
a7566750-66f7-4899-95a8-708aeec7f1ab,BTC-NBT,LIMIT_BUY,121.45190228,0.00111671,0.00033901,0.1356059,1/6/2017 11:33:21 AM,1/6/2017 11:34:17 AM
490861c5-f921-4586-a12b-c20f521e58af,BTC-NBT,LIMIT_BUY,78.28837159,0.00109979,0.00021511,0.08604518,1/6/2017 11:12:56 AM,1/6/2017 11:16:59 AM
63ad1deb-1ac1-4c0f-b188-79625c7759f9,BTC-NBT,LIMIT_BUY,538.70038119,0.00108817,0.00146263,0.58505789,1/6/2017 11:11:55 AM,1/6/2017 11:12:55 AM
c1328111-40b9-47c3-ae98-024ea82a6040,BTC-NBT,LIMIT_BUY,281.29151503,0.0010794,0.00075639,0.30255966,1/6/2017 11:02:47 AM,1/6/2017 11:03:49 AM
ae6b114e-b089-435f-a4d2-d281b7e6ead7,BTC-NBT,LIMIT_BUY,10.74323664,0.00107833,0.00002885,0.01154027,1/6/2017 9:45:30 AM,1/6/2017 9:46:30 AM
8dbf8837-fcf8-44c9-86e6-83415d1939a1,BTC-NBT,LIMIT_BUY,1.15144315,0.00106873,0.00000307,0.00122948,1/6/2017 9:44:29 AM,1/6/2017 9:45:29 AM
928289a4-efdb-438d-a2ab-63829935680c,BTC-NBT,LIMIT_BUY,108.11332593,0.00106076,0.0002867,0.11468229,1/6/2017 9:28:13 AM,1/6/2017 9:31:14 AM
e12551c6-6e5d-45eb-9433-168e1b49d80a,BTC-NBT,LIMIT_SELL,208.6870545,0.00104687,0.00054729,0.21891999,1/6/2017 3:08:06 AM,1/6/2017 3:09:00 AM
1bc69aa5-6f44-406f-9c20-8f317c1424bf,BTC-NBT,LIMIT_BUY,0.49947063,0.00104902,0.00000128,0.00051567,1/6/2017 2:59:59 AM,1/6/2017 3:01:59 AM
07f76dbd-bef2-44da-980e-3070bd589803,BTC-NBT,LIMIT_SELL,10.74323664,0.00102355,0.00002749,0.01099999,1/6/2017 2:55:54 AM,1/6/2017 2:58:52 AM
491eff41-8391-4fa1-8402-8d5172324a9d,BTC-NBT,LIMIT_BUY,384.22965449,0.00102948,0.00097334,0.3893399,1/6/2017 2:43:39 AM,1/6/2017 2:44:35 AM
8ce7062b-4e4e-4246-bc30-b177b3aafd17,BTC-NBT,LIMIT_BUY,197.94235548,0.00101015,0.00049806,0.19923083,1/6/2017 2:42:35 AM,1/6/2017 2:43:38 AM
300f3081-d4bf-46aa-922c-a56f1d5bcdfb,BTC-NBT,LIMIT_BUY,121.45190228,0.00098504,0.00029775,0.1191018,1/6/2017 2:02:54 AM,1/6/2017 2:10:00 AM
623d1ef7-387f-4d80-bc65-1d3de3022191,BTC-NBT,LIMIT_BUY,45.02386264,0.00099616,0.00011133,0.0445358,1/5/2017 11:17:13 PM,1/5/2017 11:18:12 PM
66e4d7eb-c5f7-4ff4-9cd3-1440cffc2720,BTC-NBT,LIMIT_SELL,0.56469638,0.00098916,0.00000139,0.00055947,1/5/2017 11:16:11 PM,1/5/2017 11:17:11 PM
8961ac0c-803a-4b09-8176-43249bde45c1,BTC-NBT,LIMIT_BUY,75.03902029,0.00099273,0.00018602,0.07440944,1/5/2017 11:15:19 PM,1/5/2017 11:16:11 PM
a63d964f-9248-42a7-9c9a-ac7df074a812,BTC-NBT,LIMIT_SELL,131.59125728,0.00099506,0.00032865,0.13147359,1/5/2017 11:04:59 PM,1/5/2017 11:06:00 PM
f6005602-54d6-4970-996e-3da9645804ae,BTC-NBT,LIMIT_SELL,0.50575699,0.00102032,0.00000129,0.00051682,1/5/2017 10:23:18 PM,1/5/2017 10:26:21 PM
043007f9-a796-48a3-a7b1-6ea1dae7d296,BTC-NBT,LIMIT_SELL,80,0.00105534,0.00021106,0.0844272,1/5/2017 5:36:35 PM,1/5/2017 5:39:37 PM
7d11a2bd-732c-437a-8b6a-f47f26dfd195,BTC-NBT,LIMIT_BUY,10.91662641,0.0010619,0.00002896,0.01158984,1/5/2017 4:41:41 PM,1/5/2017 4:42:41 PM
1eb2a4fe-911e-4848-815a-56177c1913bb,BTC-NBT,LIMIT_BUY,71.75414883,0.00102064,0.00018308,0.07323515,1/5/2017 3:29:30 PM,1/5/2017 3:32:32 PM
9e5b6552-022e-46bd-8cac-875d618a7643,BTC-NBT,LIMIT_SELL,106.37186464,0.00104906,0.00027999,0.11199999,1/5/2017 3:02:03 PM,1/5/2017 3:03:03 PM
7d061032-c5de-4fc1-a323-991486aff52d,BTC-NBT,LIMIT_BUY,2.89,0.0010565,0.00000761,0.00304764,1/5/2017 2:44:47 PM,1/5/2017 2:45:46 PM
a9ae1c3a-5d88-40f6-947d-1c88ec0bdb02,BTC-NBT,LIMIT_SELL,203.91344342,0.00106939,0.00054539,0.2181629,1/5/2017 2:24:25 PM,1/5/2017 2:25:26 PM
a0449522-d7c6-4252-8375-55177f904c90,BTC-NBT,LIMIT_BUY,42.50171055,0.00106689,0.00011336,0.04534464,1/5/2017 2:08:10 PM,1/5/2017 2:09:11 PM
12ca1835-9d45-4fbb-be21-1b707c3a3307,BTC-NBT,LIMIT_BUY,112.21325407,0.0010585,0.00029568,0.11827648,1/5/2017 1:49:53 PM,1/5/2017 1:51:00 PM
bcaf6d89-f2ac-4834-b85a-b42d2ba8c510,BTC-NBT,LIMIT_SELL,1172.36375061,0.00108214,0.00318539,1.27419044,1/5/2017 1:46:48 PM,1/5/2017 1:47:48 PM
efb72cd8-2896-45c3-8f3f-6e17eaf35a2c,BTC-NBT,LIMIT_SELL,2.90523476,0.0010362,0.00000752,0.0030125,1/5/2017 1:42:52 PM,1/5/2017 1:43:47 PM
ef360b3d-0991-4410-9e21-48f1caaea4b4,BTC-NBT,LIMIT_BUY,1.1285846,0.00115163,0.00000324,0.00129971,1/5/2017 1:17:25 PM,1/5/2017 1:18:19 PM
3ee0e98b-f390-40a3-9431-fab605a9c2ca,BTC-NBT,LIMIT_BUY,20,0.00109909,0.00005444,0.0217776,1/5/2017 1:16:22 PM,1/5/2017 1:17:24 PM
d7d7d3dd-2724-457d-b6e1-c399cb4b9684,BTC-NBT,LIMIT_BUY,351.27624299,0.00106396,0.00092054,0.36822331,1/5/2017 1:14:18 PM,1/5/2017 1:15:17 PM
bfba46dd-1590-4255-b6ac-ad22b5dcd029,BTC-NBT,LIMIT_BUY,133.1288,0.00102577,0.000338,0.13520028,1/5/2017 1:09:12 PM,1/5/2017 1:10:18 PM
