"#","Market","Type","Rate","Amount","Total","Timestamp"
"11225990","USNBT/BTC","Buy","0.00037570","43.92760782","0.016504","22/06/2017 6:19:00 AM"
"11206460","USNBT/BTC","Buy","0.00037264","45000.00000000","16.768800","21/06/2017 11:03:00 PM"
"11192025","USNBT/BTC","Buy","0.00036880","147.48987559","0.054394","21/06/2017 6:47:00 PM"
"11185485","USNBT/BTC","Buy","0.00037135","0.80000000","0.000297","21/06/2017 4:29:00 PM"
"11178480","USNBT/BTC","Buy","0.00036481","0.10000000","0.000036","21/06/2017 2:09:00 PM"
"11177156","USNBT/BTC","Sell","0.00036627","0.28000000","0.000103","21/06/2017 1:44:00 PM"
"11177036","USNBT/BTC","Sell","0.00036627","0.03703702","0.000014","21/06/2017 1:40:00 PM"
"11176802","USNBT/BTC","Sell","0.00036627","0.10000000","0.000037","21/06/2017 1:34:00 PM"
"11176664","USNBT/BTC","Sell","0.00036627","0.10000000","0.000037","21/06/2017 1:31:00 PM"
"11163935","USNBT/BTC","Sell","0.00037090","1.41866340","0.000526","21/06/2017 8:22:00 AM"
"11162590","USNBT/BTC","Buy","0.00037192","0.80204402","0.000298","21/06/2017 7:46:00 AM"
"11161053","USNBT/BTC","Buy","0.00036425","1.52143540","0.000554","21/06/2017 7:01:00 AM"
"11160971","USNBT/BTC","Buy","0.00036400","1.50288331","0.000547","21/06/2017 6:59:00 AM"
"11158728","USNBT/BTC","Buy","0.00036255","411.04481997","0.149024","21/06/2017 5:55:00 AM"
"11158689","USNBT/BTC","Sell","0.00036401","0.10000000","0.000036","21/06/2017 5:54:00 AM"
"11157610","USNBT/BTC","Sell","0.00036644","0.79137467","0.000290","21/06/2017 5:22:00 AM"
"11156212","USNBT/BTC","Sell","0.00036738","0.76179240","0.000280","21/06/2017 4:43:00 AM"
"11154711","USNBT/BTC","Sell","0.00036885","1.58500189","0.000585","21/06/2017 3:54:00 AM"
"11154436","USNBT/BTC","Sell","0.00036886","1.58388552","0.000584","21/06/2017 3:43:00 AM"
"11145060","USNBT/BTC","Sell","0.00036569","2.00000000","0.000731","20/06/2017 10:53:00 PM"
"11139359","USNBT/BTC","Sell","0.00036673","147.48987559","0.054089","20/06/2017 8:58:00 PM"
"11137003","USNBT/BTC","Sell","0.00036776","0.11793679","0.000043","20/06/2017 8:03:00 PM"
"11135852","USNBT/BTC","Sell","0.00036458","1.83175880","0.000668","20/06/2017 7:40:00 PM"
"11135547","USNBT/BTC","Sell","0.00036772","411.04481997","0.151149","20/06/2017 7:34:00 PM"
"11134745","USNBT/BTC","Buy","0.00037069","295.46498125","0.109526","20/06/2017 7:22:00 PM"
"11134068","USNBT/BTC","Buy","0.00036929","0.01655284","0.000006","20/06/2017 7:11:00 PM"
"11133714","USNBT/BTC","Sell","0.00037077","0.01655284","0.000006","20/06/2017 7:04:00 PM"
"11133598","USNBT/BTC","Sell","0.00037077","0.01655284","0.000006","20/06/2017 7:02:00 PM"
"11133502","USNBT/BTC","Sell","0.00037077","0.26931633","0.000100","20/06/2017 7:00:00 PM"
"11128014","USNBT/BTC","Buy","0.00037556","0.25969962","0.000098","20/06/2017 5:07:00 PM"
"11127708","USNBT/BTC","Sell","0.00037706","2.65209781","0.001000","20/06/2017 5:00:00 PM"
"11125405","USNBT/BTC","Sell","0.00037908","0.90000000","0.000341","20/06/2017 4:11:00 PM"
"11124502","USNBT/BTC","Buy","0.00037866","0.11066600","0.000042","20/06/2017 3:54:00 PM"
"11121534","USNBT/BTC","Sell","0.00038096","0.26197073","0.000100","20/06/2017 2:52:00 PM"
"11121459","USNBT/BTC","Sell","0.00038096","212.99551593","0.081143","20/06/2017 2:50:00 PM"
"11119162","USNBT/BTC","Sell","0.00038168","0.26147643","0.000100","20/06/2017 2:21:00 PM"
"11115732","USNBT/BTC","Sell","0.00038377","0.91000000","0.000349","20/06/2017 12:59:00 PM"
"11111473","USNBT/BTC","Sell","0.00038455","3.00000000","0.001154","20/06/2017 11:07:00 AM"
"11110807","USNBT/BTC","Sell","0.00038292","50000.00000000","19.146000","20/06/2017 10:48:00 AM"
"11102658","USNBT/BTC","Buy","0.00038189","0.32628416","0.000125","20/06/2017 7:16:00 AM"
"11102604","USNBT/BTC","Sell","0.00038263","6.53372710","0.002500","20/06/2017 7:13:00 AM"
"11099077","USNBT/BTC","Sell","0.00038400","24.04435920","0.009233","20/06/2017 5:44:00 AM"
"11095174","USNBT/BTC","Sell","0.00038185","52.37658767","0.020000","20/06/2017 4:15:00 AM"
"11091032","USNBT/BTC","Sell","0.00038333","5.00000000","0.001917","20/06/2017 2:43:00 AM"
"11090101","USNBT/BTC","Sell","0.00038342","1.96866912","0.000755","20/06/2017 2:18:00 AM"
"11089905","USNBT/BTC","Sell","0.00038351","1.92661858","0.000739","20/06/2017 2:13:00 AM"
"11088604","USNBT/BTC","Sell","0.00038504","0.71619783","0.000276","20/06/2017 1:51:00 AM"
"11088324","USNBT/BTC","Buy","0.00038350","768.49691903","0.294719","20/06/2017 1:46:00 AM"
"11088237","USNBT/BTC","Buy","0.00038350","5.27389559","0.002023","20/06/2017 1:44:00 AM"
"11087885","USNBT/BTC","Sell","0.00038349","0.11953492","0.000046","20/06/2017 1:37:00 AM"
"11087662","USNBT/BTC","Sell","0.00038531","0.71429070","0.000275","20/06/2017 1:33:00 AM"
"11086168","USNBT/BTC","Sell","0.00038687","0.13560237","0.000052","20/06/2017 1:04:00 AM"
"11086167","USNBT/BTC","Sell","0.00038687","15.14558235","0.005859","20/06/2017 1:04:00 AM"
"11086166","USNBT/BTC","Sell","0.00038759","0.12040214","0.000047","20/06/2017 1:04:00 AM"
"11085195","USNBT/BTC","Buy","0.00038759","0.31314401","0.000121","20/06/2017 12:49:00 AM"
"11085031","USNBT/BTC","Sell","0.00038915","35.66408610","0.013879","20/06/2017 12:47:00 AM"
"11084997","USNBT/BTC","Sell","0.00038915","0.31314401","0.000122","20/06/2017 12:46:00 AM"
"11084940","USNBT/BTC","Sell","0.00038915","1.40952007","0.000549","20/06/2017 12:45:00 AM"
"11082808","USNBT/BTC","Sell","0.00038915","10.00000000","0.003892","20/06/2017 12:01:00 AM"
"11074382","USNBT/BTC","Sell","0.00038816","50000.00000000","19.408000","19/06/2017 9:13:00 PM"
"11073806","USNBT/BTC","Buy","0.00038782","9.81963494","0.003808","19/06/2017 9:01:00 PM"
"11071549","USNBT/BTC","Buy","0.00038590","295.94197243","0.114204","19/06/2017 8:13:00 PM"
"11067779","USNBT/BTC","Sell","0.00038617","12.80000000","0.004943","19/06/2017 6:38:00 PM"
"11067778","USNBT/BTC","Sell","0.00038618","24.06763685","0.009294","19/06/2017 6:38:00 PM"
"11066239","USNBT/BTC","Sell","0.00038694","254.26035818","0.098384","19/06/2017 6:12:00 PM"
"11061845","USNBT/BTC","Sell","0.00038919","23206.80015818","9.031855","19/06/2017 4:51:00 PM"
"11060719","USNBT/BTC","Buy","0.00038895","23.94414287","0.009313","19/06/2017 4:31:00 PM"
"11058650","USNBT/BTC","Sell","0.00038701","23.99236753","0.009285","19/06/2017 3:45:00 PM"
"11055061","USNBT/BTC","Sell","0.00037685","725.00000000","0.273216","19/06/2017 2:27:00 PM"
"11055037","USNBT/BTC","Sell","0.00037685","1100.00000000","0.414535","19/06/2017 2:26:00 PM"
"11054373","USNBT/BTC","Sell","0.00038965","3550.00000000","1.383258","19/06/2017 2:09:00 PM"
"11051900","USNBT/BTC","Sell","0.00039133","260.00000000","0.101746","19/06/2017 1:21:00 PM"
"11051890","USNBT/BTC","Sell","0.00039133","252.00000000","0.098615","19/06/2017 1:21:00 PM"
"11050129","USNBT/BTC","Sell","0.00039131","15000.00000000","5.869650","19/06/2017 12:29:00 PM"
"11048928","USNBT/BTC","Sell","0.00039031","78.55946532","0.030663","19/06/2017 11:54:00 AM"
"11048493","USNBT/BTC","Sell","0.00039031","2.72739858","0.001065","19/06/2017 11:40:00 AM"
"11047593","USNBT/BTC","Sell","0.00039090","50000.00000000","19.545000","19/06/2017 11:16:00 AM"
"11041897","USNBT/BTC","Sell","0.00038510","47.00000000","0.018100","19/06/2017 9:00:00 AM"
"11016073","USNBT/BTC","Sell","0.00040760","11.63839745","0.004744","18/06/2017 8:54:00 PM"
"11016072","USNBT/BTC","Sell","0.00040761","0.97477981","0.000397","18/06/2017 8:54:00 PM"
"11016071","USNBT/BTC","Sell","0.00040762","36.17437809","0.014745","18/06/2017 8:54:00 PM"
"11015961","USNBT/BTC","Buy","0.00040706","23.70960262","0.009651","18/06/2017 8:49:00 PM"
"11015960","USNBT/BTC","Buy","0.00040706","36.29674499","0.014775","18/06/2017 8:49:00 PM"
"11015959","USNBT/BTC","Buy","0.00040705","0.97809658","0.000398","18/06/2017 8:49:00 PM"
"11015119","USNBT/BTC","Sell","0.00039445","1.72797567","0.000682","18/06/2017 8:22:00 PM"
"11015118","USNBT/BTC","Sell","0.00039133","6.91190267","0.002705","18/06/2017 8:22:00 PM"
"11014773","USNBT/BTC","Sell","0.00039152","34.55951334","0.013531","18/06/2017 8:13:00 PM"
"11013756","USNBT/BTC","Sell","0.00039986","6.36779669","0.002546","18/06/2017 7:43:00 PM"
"11013431","USNBT/BTC","Sell","0.00040284","0.98006651","0.000395","18/06/2017 7:35:00 PM"
"11013211","USNBT/BTC","Sell","0.00039080","202.18901951","0.079015","18/06/2017 7:29:00 PM"
"11012851","USNBT/BTC","Buy","0.00039641","0.99799000","0.000396","18/06/2017 7:19:00 PM"
"11010740","USNBT/BTC","Sell","0.00039444","1.00000000","0.000394","18/06/2017 6:24:00 PM"
"11010182","USNBT/BTC","Buy","0.00039155","52.29735926","0.020477","18/06/2017 6:11:00 PM"
"11009836","USNBT/BTC","Sell","0.00038895","52.29735926","0.020341","18/06/2017 6:02:00 PM"
"11009788","USNBT/BTC","Buy","0.00039155","52.15667933","0.020422","18/06/2017 6:01:00 PM"
"11009787","USNBT/BTC","Buy","0.00039153","43.91538681","0.017194","18/06/2017 6:01:00 PM"
"11009621","USNBT/BTC","Sell","0.00038844","52.15667933","0.020260","18/06/2017 5:58:00 PM"
"11009585","USNBT/BTC","Sell","0.00038849","43.91538681","0.017061","18/06/2017 5:57:00 PM"
"11008646","USNBT/BTC","Buy","0.00039523","2.00000000","0.000790","18/06/2017 5:34:00 PM"
"11008148","USNBT/BTC","Buy","0.00039218","50.00000000","0.019609","18/06/2017 5:23:00 PM"
"11007574","USNBT/BTC","Sell","0.00038852","50.00000000","0.019426","18/06/2017 5:06:00 PM"
"11007103","USNBT/BTC","Buy","0.00039589","2.57000000","0.001017","18/06/2017 4:53:00 PM"
"11007042","USNBT/BTC","Sell","0.00038950","2.57000000","0.001001","18/06/2017 4:51:00 PM"
"11006985","USNBT/BTC","Sell","0.00038950","23.70960262","0.009235","18/06/2017 4:49:00 PM"
"11005806","USNBT/BTC","Sell","0.00039031","1.59796724","0.000624","18/06/2017 4:14:00 PM"
"11004901","USNBT/BTC","Sell","0.00039197","50000.00000000","19.598500","18/06/2017 3:54:00 PM"
"11004240","USNBT/BTC","Buy","0.00039953","0.75777721","0.000303","18/06/2017 3:36:00 PM"
"11004239","USNBT/BTC","Buy","0.00039953","0.11538480","0.000046","18/06/2017 3:36:00 PM"
"11004238","USNBT/BTC","Buy","0.00039749","2.25734654","0.000897","18/06/2017 3:36:00 PM"
"11003653","USNBT/BTC","Sell","0.00038932","50000.00000000","19.466000","18/06/2017 3:23:00 PM"
"10991387","USNBT/BTC","Sell","0.00040303","36.36984839","0.014658","18/06/2017 9:32:00 AM"
"10991365","USNBT/BTC","Buy","0.00040000","267.27127425","0.106909","18/06/2017 9:32:00 AM"
"10991364","USNBT/BTC","Buy","0.00039900","0.40000000","0.000160","18/06/2017 9:32:00 AM"
"10991363","USNBT/BTC","Buy","0.00039605","37.08502641","0.014688","18/06/2017 9:32:00 AM"
"10991126","USNBT/BTC","Sell","0.00039538","6125.93359469","2.422072","18/06/2017 9:26:00 AM"
"10991110","USNBT/BTC","Sell","0.00039225","24503.73437876","9.611590","18/06/2017 9:26:00 AM"
"10990768","USNBT/BTC","Buy","0.00039069","4.52889343","0.001769","18/06/2017 9:16:00 AM"
"10990551","USNBT/BTC","Sell","0.00038742","19680.11514527","7.624470","18/06/2017 9:10:00 AM"
"10989729","USNBT/BTC","Sell","0.00039213","37.15971744","0.014571","18/06/2017 8:45:00 AM"
"10989679","USNBT/BTC","Buy","0.00038743","37.68590174","0.014601","18/06/2017 8:44:00 AM"
"10987811","USNBT/BTC","Sell","0.00037908","0.30000000","0.000114","18/06/2017 7:46:00 AM"
"10984982","USNBT/BTC","Sell","0.00037944","2.50000000","0.000949","18/06/2017 6:22:00 AM"
"10984190","USNBT/BTC","Sell","0.00038435","2.21933134","0.000853","18/06/2017 5:59:00 AM"
"10981393","USNBT/BTC","Sell","0.00037761","5000.00000000","1.888050","18/06/2017 4:42:00 AM"
"10981371","USNBT/BTC","Sell","0.00037761","15000.00000000","5.664150","18/06/2017 4:41:00 AM"
"10977902","USNBT/BTC","Sell","0.00037874","15000.00000000","5.681100","18/06/2017 2:59:00 AM"
"10974781","USNBT/BTC","Buy","0.00038542","0.21128458","0.000081","18/06/2017 1:23:00 AM"
"10973667","USNBT/BTC","Sell","0.00037720","0.29426718","0.000111","18/06/2017 12:52:00 AM"
"10967614","USNBT/BTC","Sell","0.00037786","10.72718270","0.004053","17/06/2017 10:32:00 PM"
"10966360","USNBT/BTC","Sell","0.00037786","3.00000000","0.001134","17/06/2017 10:06:00 PM"
"10965298","USNBT/BTC","Sell","0.00038359","37.76180296","0.014485","17/06/2017 9:40:00 PM"
"10965122","USNBT/BTC","Buy","0.00037954","38.24124406","0.014514","17/06/2017 9:34:00 PM"
"10964694","USNBT/BTC","Sell","0.00037577","0.67006799","0.000252","17/06/2017 9:23:00 PM"
"10964693","USNBT/BTC","Sell","0.00037578","38.31826377","0.014399","17/06/2017 9:23:00 PM"
"10963071","USNBT/BTC","Buy","0.00038189","37.87230972","0.014463","17/06/2017 8:44:00 PM"
"10961766","USNBT/BTC","Sell","0.00037726","2.38607230","0.000900","17/06/2017 8:13:00 PM"
"10960813","USNBT/BTC","Sell","0.00037810","20.00000000","0.007562","17/06/2017 7:50:00 PM"
"10960812","USNBT/BTC","Sell","0.00037811","37.94858638","0.014349","17/06/2017 7:50:00 PM"
